"job_id","job_title","salary_year_avg","company_name","skills"
1401033,"Market Data Lead Analyst","180000.0","Deutsche Bank","excel"
1813715,"Data Architect - Trading and Supply","156500.0","Shell","shell"
1813715,"Data Architect - Trading and Supply","156500.0","Shell","express"
1813715,"Data Architect - Trading and Supply","156500.0","Shell","excel"
1813715,"Data Architect - Trading and Supply","156500.0","Shell","flow"
694461,"Sr Data Analyst","118140.0","Hasbro","sql"
694461,"Sr Data Analyst","118140.0","Hasbro","python"
694461,"Sr Data Analyst","118140.0","Hasbro","jupyter"
694461,"Sr Data Analyst","118140.0","Hasbro","tableau"
694461,"Sr Data Analyst","118140.0","Hasbro","power bi"
694461,"Sr Data Analyst","118140.0","Hasbro","looker"
377642,"Fraud Data Analyst","109000.0","esure Group","sql"
377642,"Fraud Data Analyst","109000.0","esure Group","python"
377642,"Fraud Data Analyst","109000.0","esure Group","sas"
377642,"Fraud Data Analyst","109000.0","esure Group","excel"
377642,"Fraud Data Analyst","109000.0","esure Group","tableau"
377642,"Fraud Data Analyst","109000.0","esure Group","sas"
1315562,"Project Data Analyst - Operational Excellence","105000.0","Syngenta Group","tableau"
150907,"Senior Scientist, Computational Biology","89100.0","Flagship Pioneering, Inc.","python"
150907,"Senior Scientist, Computational Biology","89100.0","Flagship Pioneering, Inc.","go"
150907,"Senior Scientist, Computational Biology","89100.0","Flagship Pioneering, Inc.","jupyter"
150907,"Senior Scientist, Computational Biology","89100.0","Flagship Pioneering, Inc.","git"
150907,"Senior Scientist, Computational Biology","89100.0","Flagship Pioneering, Inc.","unify"
985232,"Global IT Data Analytics Solutions Expert","86400.0","Campari Group","python"
985232,"Global IT Data Analytics Solutions Expert","86400.0","Campari Group","r"
985232,"Global IT Data Analytics Solutions Expert","86400.0","Campari Group","azure"
985232,"Global IT Data Analytics Solutions Expert","86400.0","Campari Group","databricks"
985232,"Global IT Data Analytics Solutions Expert","86400.0","Campari Group","sap"
227038,"Data Analyst","77017.5","Nominet","sql"
227038,"Data Analyst","77017.5","Nominet","python"
227038,"Data Analyst","77017.5","Nominet","r"
1059513,"Data Analyst - Customer Services","75550.0","Informa Group Plc.","typescript"
1059513,"Data Analyst - Customer Services","75550.0","Informa Group Plc.","vba"
1059513,"Data Analyst - Customer Services","75550.0","Informa Group Plc.","excel"
1059513,"Data Analyst - Customer Services","75550.0","Informa Group Plc.","power bi"
1059513,"Data Analyst - Customer Services","75550.0","Informa Group Plc.","notion"
453109,"Global Mobility Data Analyst","75067.5","CHANEL","excel"
