"job_id","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date","company_name"
1401033,"Market Data Lead Analyst","United Kingdom","Full-time","180000.0","2023-11-10 08:32:22","Deutsche Bank"
1813715,"Data Architect - Trading and Supply","United Kingdom","Full-time","156500.0","2023-11-08 19:33:50","Shell"
694461,"Sr Data Analyst","United Kingdom","Full-time","118140.0","2023-12-22 08:12:30","Hasbro"
377642,"Fraud Data Analyst","United Kingdom","Full-time and Part-time","109000.0","2023-11-11 23:13:05","esure Group"
1315562,"Project Data Analyst - Operational Excellence","United Kingdom","Full-time","105000.0","2023-07-04 12:16:00","Syngenta Group"
150907,"Senior Scientist, Computational Biology","United Kingdom","Full-time","89100.0","2023-02-06 19:17:32","Flagship Pioneering, Inc."
985232,"Global IT Data Analytics Solutions Expert","United Kingdom","Full-time","86400.0","2023-12-15 22:13:28","Campari Group"
227038,"Data Analyst","United Kingdom","Full-time and Temp work","77017.5","2023-12-11 07:47:42","Nominet"
1059513,"Data Analyst - Customer Services","United Kingdom","Full-time","75550.0","2023-12-05 15:13:29","Informa Group Plc."
453109,"Global Mobility Data Analyst","United Kingdom","Full-time","75067.5","2023-12-20 12:12:25","CHANEL"
